unique_key,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location
5048508,HM654849,2006-10-11 08:54:00.000000 UTC,003XX S JEFFERSON ST,0610,BURGLARY,FORCIBLE ENTRY,RESTAURANT,false,false,111,1,2,28,05,1172381.0,1898733.0,2006,2018-02-28 03:56:25.000000 UTC,41.877568357,-87.642523226,"(41.877568357, -87.642523226)"
8277542,HT511810,2011-09-23 08:00:00.000000 UTC,005XX W MADISON ST,0620,BURGLARY,UNLAWFUL ENTRY,SMALL RETAIL STORE,false,false,111,1,42,28,05,1173039.0,1900311.0,2011,2018-02-10 03:50:01.000000 UTC,41.881883933,-87.640060441,"(41.881883933, -87.640060441)"
12063889,JD247944,2020-05-30 09:20:00.000000 UTC,001XX N STATE ST,0620,BURGLARY,UNLAWFUL ENTRY,DEPARTMENT STORE,true,false,111,1,42,32,05,1176352.0,1900927.0,2020,2020-06-06 03:41:51.000000 UTC,41.883500187,-87.627876698,"(41.883500187, -87.627876698)"
11450910,JB441709,2018-09-18 05:15:00.000000 UTC,001XX N STATE ST,0810,THEFT,OVER $500,SIDEWALK,false,false,111,1,42,32,06,1176352.0,1900927.0,2018,2018-09-25 04:14:11.000000 UTC,41.883500187,-87.627876698,"(41.883500187, -87.627876698)"
11685845,JC261782,2019-05-13 09:00:00.000000 UTC,002XX N DEARBORN ST,0810,THEFT,OVER $500,SIDEWALK,false,false,111,1,42,32,06,1175899.0,1901878.0,2019,2019-05-20 04:18:59.000000 UTC,41.886119991,-87.629511488,"(41.886119991, -87.629511488)"
3434828,HK502507,2004-07-17 03:00:00.000000 UTC,0000X S WACKER DR,0810,THEFT,OVER $500,STREET,false,false,111,1,2,32,06,1173871.0,1900172.0,2004,2018-02-28 03:56:25.000000 UTC,41.881484024,-87.637009521,"(41.881484024, -87.637009521)"
1844291,G678251,2001-11-10 07:00:00.000000 UTC,005XX W WASHINGTON BL,0810,THEFT,OVER $500,OTHER,false,false,111,1,,,06,1173109.0,1900824.0,2001,2015-08-17 03:03:40.000000 UTC,41.883290085,-87.639788182,"(41.883290085, -87.639788182)"
1902732,G758931,2001-12-19 01:45:00.000000 UTC,006XX W ADAMS ST,0810,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),false,false,111,1,,,06,1171981.0,1899385.0,2001,2015-08-17 03:03:40.000000 UTC,41.879366314,-87.64397268,"(41.879366314, -87.64397268)"
2000528,HH203082,2002-02-22 01:00:00.000000 UTC,002XX S RIVERSIDE PZ,0810,THEFT,OVER $500,COMMERCIAL / BUSINESS OFFICE,false,false,111,1,,,06,1173472.0,1899214.0,2002,2018-02-10 03:50:01.000000 UTC,41.878864086,-87.638503099,"(41.878864086, -87.638503099)"
1842475,G680645,2001-11-10 11:15:00.000000 UTC,003XX W RANDOLPH ST,0810,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),false,false,111,1,,,06,1174286.0,1901301.0,2001,2015-08-17 03:03:40.000000 UTC,41.884572819,-87.63545196,"(41.884572819, -87.63545196)"
